"id","timestamp","owmtemperature","temperature","owmpressure","pressure","owmhumidity","humidity","sensorwindspeed","owmwindspeed","owmwinddegree","light","owmweathername","owmweatherdesc"
"61","2016-01-04 13:05:17","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"62","2016-01-04 13:05:47","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"63","2016-01-04 13:06:17","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"64","2016-01-04 13:06:47","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"65","2016-01-04 13:07:17","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"66","2016-01-04 13:07:47","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"67","2016-01-04 13:08:17","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"68","2016-01-04 13:08:48","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"69","2016-01-04 13:09:18","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"70","2016-01-04 13:09:48","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"71","2016-01-04 13:10:18","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"72","2016-01-04 13:10:48","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"73","2016-01-04 13:11:18","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"74","2016-01-04 13:11:49","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"75","2016-01-04 13:12:19","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"76","2016-01-04 13:12:50","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"77","2016-01-04 13:13:20","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"78","2016-01-04 13:13:50","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"79","2016-01-04 13:14:20","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"80","2016-01-04 13:14:50","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"81","2016-01-04 13:15:20","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"82","2016-01-04 13:15:51","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"83","2016-01-04 13:16:21","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"84","2016-01-04 13:16:51","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"85","2016-01-04 13:17:21","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"86","2016-01-04 13:17:51","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"87","2016-01-04 13:18:21","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"88","2016-01-04 13:18:51","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"89","2016-01-04 13:19:21","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
